post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47762864,Backblaze has stopped backing up your data,technology,277,185,rrreese,2026-04-14 17:47:28.177632,0.6654676258992805,True
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,50,17,tie-in,2026-04-14 17:48:05.420530,0.3333333333333333,False
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,36,3,adunk,2026-04-14 17:48:08.676760,0.08108108108108109,False
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,78,26,mufeedvh,2026-04-14 17:48:35.050733,0.3291139240506329,False
47728970,"Write less code, be more responsible",technology,109,65,orhunp_,2026-04-14 17:48:38.310662,0.5909090909090909,False
47753689,Building a CLI for all of Cloudflare,technology,314,101,soheilpro,2026-04-14 17:48:59.649459,0.32063492063492066,True
47755209,B-trees and database indexes (2024),technology,108,40,tosh,2026-04-14 17:49:49.034411,0.3669724770642202,False
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,263,108,dvaughan,2026-04-14 17:50:42.079573,0.4090909090909091,True
47761892,"Show HN: Pushduck – S3 uploads that run on Cloudflare Workers, no AWS SDK",technology,7,3,abhay_ramesh,2026-04-14 17:50:55.150094,0.375,False
47754179,Claude Code may be burning your limits with invisible tokens,technology,44,5,jenic_,2026-04-14 17:51:15.920654,0.1111111111111111,False
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,402,275,kiyanwang,2026-04-14 17:51:26.626817,0.6823821339950372,True
47764128,Mastodon gets Sovereign Tech Agency funding,technology,6,1,edent,2026-04-14 17:51:40.159193,0.14285714285714285,False
47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,1117,410,littlecranky67,2026-04-14 17:53:27.546352,0.3667262969588551,True
47750259,Point Cloud Allemansrätten,technology,37,6,ColinWright,2026-04-14 17:53:50.961914,0.15789473684210525,False
47736555,I run multiple $10K MRR companies on a $20/month tech stack,technology,943,501,tradertef,2026-04-14 17:54:00.813270,0.5307203389830508,True
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,181,125,JanSchu,2026-04-14 17:54:27.715278,0.6868131868131868,False
47743819,Basics of Radar Technology,technology,39,0,_Microft,2026-04-14 17:54:34.239516,0.0,False
47758343,CIA reportedly used Pegasus software during rescue of airman in Iran,technology,39,0,Cider9986,2026-04-14 17:54:44.287479,0.0,False
47741889,Show HN: Claudraband – Claude Code for the Power User,technology,117,44,halfwhey,2026-04-14 17:54:50.839076,0.3728813559322034,False
