post_id,title,category,score,num_comments,author,collected_at
47762864,Backblaze has stopped backing up your data,technology,277,185,rrreese,2026-04-14 17:47:28.177632
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,50,17,tie-in,2026-04-14 17:48:05.420530
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,36,3,adunk,2026-04-14 17:48:08.676760
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,78,26,mufeedvh,2026-04-14 17:48:35.050733
47728970,"Write less code, be more responsible",technology,109,65,orhunp_,2026-04-14 17:48:38.310662
47753689,Building a CLI for all of Cloudflare,technology,314,101,soheilpro,2026-04-14 17:48:59.649459
47755209,B-trees and database indexes (2024),technology,108,40,tosh,2026-04-14 17:49:49.034411
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,263,108,dvaughan,2026-04-14 17:50:42.079573
47761892,"Show HN: Pushduck – S3 uploads that run on Cloudflare Workers, no AWS SDK",technology,7,3,abhay_ramesh,2026-04-14 17:50:55.150094
47754179,Claude Code may be burning your limits with invisible tokens,technology,44,5,jenic_,2026-04-14 17:51:15.920654
47748064,The economics of software teams: Why most engineering orgs are flying blind,technology,402,275,kiyanwang,2026-04-14 17:51:26.626817
47764128,Mastodon gets Sovereign Tech Agency funding,technology,6,1,edent,2026-04-14 17:51:40.159193
47738883,Tell HN: Docker pull fails in Spain due to football Cloudflare block,technology,1117,410,littlecranky67,2026-04-14 17:53:27.546352
47750259,Point Cloud Allemansrätten,technology,37,6,ColinWright,2026-04-14 17:53:50.961914
47736555,I run multiple $10K MRR companies on a $20/month tech stack,technology,943,501,tradertef,2026-04-14 17:54:00.813270
47749674,Show HN: I built a social media management tool in 3 weeks with Claude and Codex,technology,181,125,JanSchu,2026-04-14 17:54:27.715278
47743819,Basics of Radar Technology,technology,39,0,_Microft,2026-04-14 17:54:34.239516
47758343,CIA reportedly used Pegasus software during rescue of airman in Iran,technology,39,0,Cider9986,2026-04-14 17:54:44.287479
47741889,Show HN: Claudraband – Claude Code for the Power User,technology,117,44,halfwhey,2026-04-14 17:54:50.839076
47727960,Show HN: Pardonned.com – A searchable database of US Pardons,technology,496,272,vidluther,2026-04-14 17:54:54.118963
47729634,Now is the best time to write code by hand,technology,121,55,nickgreg,2026-04-14 17:55:14.173018
47687273,Git commands I run before reading any code,technology,2325,506,grepsedawk,2026-04-14 17:55:47.957914
47732402,The APL programming language source code (2012),technology,82,29,tosh,2026-04-14 17:55:51.243341
47730407,South Korea introduces universal basic mobile data access,technology,417,125,saikatsg,2026-04-14 17:56:41.805648
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,worldnews,24,22,adulion,2026-04-14 17:57:28.280396
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,worldnews,132,30,galaxyLogic,2026-04-14 17:58:48.731283
47763185,An open letter to the UK Government on digital privacy,worldnews,8,0,vsajip,2026-04-14 17:59:55.159509
47762272,"Linux 7.0 Released with New Hardware Support, Optimizations and Self-Healing XFS",worldnews,20,0,isaacfrond,2026-04-14 18:03:21.261302
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,438,276,neversaydie,2026-04-14 18:06:08.242256
47755938,Warp,worldnews,6,1,Resayours,2026-04-14 18:06:35.601245
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-14 18:10:18.940801
47759079,Sam Altman Attack Suspect Had 'Anti-AI' Document with CEO Names,worldnews,20,3,JumpCrisscross,2026-04-14 18:11:02.171931
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-14 18:14:39.812732
47757668,Ukraine Tested Space-Launch Capabilities in Middle of War Twice,worldnews,22,0,Teever,2026-04-14 18:14:56.058754
47745230,Sam Altman's home targeted in second attack,worldnews,152,356,babelfish,2026-04-14 18:15:12.713077
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-14 18:16:48.654729
47761215,Pepsi was warned $7 for Doritos was too much. Now they are paying the price,worldnews,8,0,matthest,2026-04-14 18:17:25.033662
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,worldnews,122,72,fanf2,2026-04-14 18:19:14.863577
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 18:19:18.118196
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 18:19:37.798572
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,8,1,ceejayoz,2026-04-14 18:20:13.864444
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 18:21:10.557106
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 18:22:13.347192
47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,16,2,1vuio0pswjnm7,2026-04-14 18:24:18.185244
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,441,243,m-hodges,2026-04-14 18:26:14.736323
47761825,Roblox devs now need a subscription to share their games freely,sports,59,59,hallole,2026-04-14 18:27:43.404371
47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,129,38,radeeyate,2026-04-14 18:30:27.794831
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,625,152,iceberger2001,2026-04-14 18:32:54.801323
47749295,Show HN: Equirect – a Rust VR video player,sports,13,1,greggman65,2026-04-14 18:34:26.753963
47698111,Bevy game development tutorials and in-depth resources,sports,139,68,GenericCanadian,2026-04-14 18:34:33.260843
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 18:34:43.177791
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-14 18:36:08.779224
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-14 18:44:41.886188
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,262,278,speckx,2026-04-14 18:45:27.817914
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,28,7,russellharper,2026-04-14 18:45:57.527384
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 18:47:42.881580
47738343,The Physics of GPS,science,161,35,maouida,2026-04-14 18:59:28.092466
47758831,FAA Says Military Can Use Anti-Drone Lasers in U.S. Airspace,science,22,5,bookofjoe,2026-04-14 19:01:17.726307
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 19:05:21.642707
47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,178,77,smokel,2026-04-14 19:06:40.161101
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 19:07:34.867261
